,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
2207,koufoko01,http://www.basketball-reference.com/players/k/koufoko01.html,Kosta Koufos,2009,2017,C,7-0,265,"February 24, 1989",Ohio State University
2216,kravtvi01,http://www.basketball-reference.com/players/k/kravtvi01.html,Viacheslav Kravtsov,2013,2014,C,7-0,260,"August 25, 1987",
2221,krstine01,http://www.basketball-reference.com/players/k/krstine01.html,Nenad Krstic,2005,2011,C,7-0,240,"July 25, 1983",
2229,kukocto01,http://www.basketball-reference.com/players/k/kukocto01.html,Toni Kukoc,1994,2006,F,6-10,192,"September 18, 1968",
2234,kurzro01,http://www.basketball-reference.com/players/k/kurzro01.html,Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",University of Notre Dame
2236,kuzmiog01,http://www.basketball-reference.com/players/k/kuzmiog01.html,Ognjen Kuzmic,2014,2015,C,7-1,251,"May 16, 1990",
2246,lafayol01,http://www.basketball-reference.com/players/l/lafayol01.html,Oliver Lafayette,2010,2010,G,6-2,190,"May 6, 1984",University of Houston
2247,lafrera01,http://www.basketball-reference.com/players/l/lafrera01.html,Raef LaFrentz,1999,2008,F-C,6-11,240,"May 29, 1976",University of Kansas
2252,lambdo01,http://www.basketball-reference.com/players/l/lambdo01.html,Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",University of Kentucky
2253,lambje01,http://www.basketball-reference.com/players/l/lambje01.html,Jeremy Lamb,2013,2017,G-F,6-5,185,"May 30, 1992",University of Connecticut
2256,lampema01,http://www.basketball-reference.com/players/l/lampema01.html,Maciej Lampe,2004,2006,C,6-11,275,"February 5, 1985",
2259,landrca01,http://www.basketball-reference.com/players/l/landrca01.html,Carl Landry,2008,2016,F,6-9,248,"September 19, 1983",Purdue University
2260,landrma01,http://www.basketball-reference.com/players/l/landrma01.html,Marcus Landry,2010,2010,F,6-7,230,"November 1, 1985",University of Wisconsin
2265,langja01,http://www.basketball-reference.com/players/l/langja01.html,James Lang,2007,2007,C,6-10,285,"October 17, 1983",
2267,langfke01,http://www.basketball-reference.com/players/l/langfke01.html,Keith Langford,2008,2008,G,6-4,215,"September 15, 1983",University of Kansas
2273,larkish01,http://www.basketball-reference.com/players/l/larkish01.html,Shane Larkin,2014,2016,G,5-11,175,"October 2, 1992",University of Miami
2277,lasmest01,http://www.basketball-reference.com/players/l/lasmest01.html,Stephane Lasme,2008,2008,F,6-8,215,"December 17, 1982",University of Massachusetts Amherst
2283,lauvejo01,http://www.basketball-reference.com/players/l/lauvejo01.html,Joffrey Lauvergne,2015,2017,C-F,6-11,220,"September 30, 1991",
2285,lavinza01,http://www.basketball-reference.com/players/l/lavinza01.html,Zach LaVine,2015,2017,G,6-5,189,"March 10, 1995","University of California, Los Angeles"
2287,lawac01,http://www.basketball-reference.com/players/l/lawac01.html,Acie Law,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M University
2288,lawalga01,http://www.basketball-reference.com/players/l/lawalga01.html,Gani Lawal,2011,2011,F,6-9,234,"November 7, 1988",Georgia Institute of Technology
2291,lawsoty01,http://www.basketball-reference.com/players/l/lawsoty01.html,Ty Lawson,2010,2017,G,5-11,195,"November 3, 1987",University of North Carolina
2299,ledori01,http://www.basketball-reference.com/players/l/ledori01.html,Ricky Ledo,2014,2015,G,6-7,195,"September 10, 1992",
2302,leeco01,http://www.basketball-reference.com/players/l/leeco01.html,Courtney Lee,2009,2017,G,6-5,200,"October 3, 1985",Western Kentucky University
2304,leeda02,http://www.basketball-reference.com/players/l/leeda02.html,David Lee,2006,2017,F,6-9,245,"April 29, 1983",University of Florida
2311,leema01,http://www.basketball-reference.com/players/l/leema01.html,Malcolm Lee,2012,2015,G,6-5,200,"May 22, 1990","University of California, Los Angeles"
2319,lenal01,http://www.basketball-reference.com/players/l/lenal01.html,Alex Len,2014,2017,C,7-1,260,"June 16, 1993",University of Maryland
2320,lenarvo01,http://www.basketball-reference.com/players/l/lenarvo01.html,Voshon Lenard,1996,2006,G,6-4,205,"May 14, 1973",University of Minnesota
2323,leonaka01,http://www.basketball-reference.com/players/l/leonaka01.html,Kawhi Leonard,2012,2017,F,6-7,230,"June 29, 1991",San Diego State University
2324,leoname01,http://www.basketball-reference.com/players/l/leoname01.html,Meyers Leonard,2013,2017,C-F,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign
2327,leslitr01,http://www.basketball-reference.com/players/l/leslitr01.html,Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",University of Georgia
2330,leuerjo01,http://www.basketball-reference.com/players/l/leuerjo01.html,Jon Leuer,2012,2017,F,6-10,228,"May 14, 1989",University of Wisconsin
2344,lewisra02,http://www.basketball-reference.com/players/l/lewisra02.html,Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",
2349,liggide01,http://www.basketball-reference.com/players/l/liggide01.html,DeAndre Liggins,2012,2017,G,6-6,209,"March 31, 1988",University of Kentucky
2352,lillada01,http://www.basketball-reference.com/players/l/lillada01.html,Damian Lillard,2013,2017,G,6-3,195,"July 15, 1990",Weber State University
2353,linje01,http://www.basketball-reference.com/players/l/linje01.html,Jeremy Lin,2011,2017,G,6-3,200,"August 23, 1988",Harvard University
2358,livinra01,http://www.basketball-reference.com/players/l/livinra01.html,Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University
2359,livinsh01,http://www.basketball-reference.com/players/l/livinsh01.html,Shaun Livingston,2005,2017,G,6-7,192,"September 11, 1985",
2384,lopezbr01,http://www.basketball-reference.com/players/l/lopezbr01.html,Brook Lopez,2009,2017,C,7-0,275,"April 1, 1988",Stanford University
2387,lopezro01,http://www.basketball-reference.com/players/l/lopezro01.html,Robin Lopez,2009,2017,C,7-0,255,"April 1, 1988",Stanford University
2393,loveke01,http://www.basketball-reference.com/players/l/loveke01.html,Kevin Love,2009,2017,F,6-10,251,"September 7, 1988","University of California, Los Angeles"
2398,lowryky01,http://www.basketball-reference.com/players/l/lowryky01.html,Kyle Lowry,2007,2017,G,6-1,196,"March 25, 1986",Villanova University
2402,lucaska01,http://www.basketball-reference.com/players/l/lucaska01.html,Kalin Lucas,2015,2015,G,6-1,195,"May 24, 1989",Michigan State University
2404,lucasjo02,http://www.basketball-reference.com/players/l/lucasjo02.html,John Lucas III,2006,2017,G,5-11,166,"November 21, 1982",Oklahoma State University
2406,luety01,http://www.basketball-reference.com/players/l/luety01.html,Tyronn Lue,1999,2009,G,6-0,175,"May 3, 1977",University of Nebraska
2422,machasc01,http://www.basketball-reference.com/players/m/machasc01.html,Scott Machado,2013,2013,G,6-1,205,"June 8, 1990",Iona College
2423,macijar01,http://www.basketball-reference.com/players/m/macijar01.html,Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",
2426,macksh01,http://www.basketball-reference.com/players/m/macksh01.html,Shelvin Mack,2012,2017,G,6-3,203,"April 22, 1990",Butler University
2429,macklve01,http://www.basketball-reference.com/players/m/macklve01.html,Vernon Macklin,2012,2012,F,6-10,227,"September 20, 1986",University of Florida
2437,madsema01,http://www.basketball-reference.com/players/m/madsema01.html,Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976",Stanford University
2439,maggeco01,http://www.basketball-reference.com/players/m/maggeco01.html,Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979",Duke University
2441,magloja01,http://www.basketball-reference.com/players/m/magloja01.html,Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978",University of Kentucky
2443,mahinia01,http://www.basketball-reference.com/players/m/mahinia01.html,Ian Mahinmi,2008,2017,C,6-11,250,"November 5, 1986",
2449,majorre01,http://www.basketball-reference.com/players/m/majorre01.html,Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","California State University, Fresno"
2469,marblde01,http://www.basketball-reference.com/players/m/marblde01.html,Devyn Marble,2015,2016,G-F,6-6,200,"September 21, 1992",University of Iowa
2471,marbust01,http://www.basketball-reference.com/players/m/marbust01.html,Stephon Marbury,1997,2009,G,6-2,180,"February 20, 1977",Georgia Institute of Technology
2475,mariosh01,http://www.basketball-reference.com/players/m/mariosh01.html,Shawn Marion,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas"
2477,markoda01,http://www.basketball-reference.com/players/m/markoda01.html,Damir Markota,2007,2007,C,6-10,225,"December 26, 1985",
2478,marksse01,http://www.basketball-reference.com/players/m/marksse01.html,Sean Marks,1999,2011,F-C,6-10,250,"August 23, 1975",University of California
2483,marshdo01,http://www.basketball-reference.com/players/m/marshdo01.html,Donyell Marshall,1995,2009,F,6-9,218,"May 18, 1973",University of Connecticut
2484,marshke01,http://www.basketball-reference.com/players/m/marshke01.html,Kendall Marshall,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina
2485,marshra01,http://www.basketball-reference.com/players/m/marshra01.html,Rawle Marshall,2006,2007,G-F,6-9,190,"February 20, 1982",Oakland University
2491,martica01,http://www.basketball-reference.com/players/m/martica01.html,Cartier Martin,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University
2493,martida01,http://www.basketball-reference.com/players/m/martida01.html,Darrick Martin,1995,2008,G,5-11,170,"March 6, 1971","University of California, Los Angeles"
2499,martike01,http://www.basketball-reference.com/players/m/martike01.html,Kenyon Martin,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati
2500,martike02,http://www.basketball-reference.com/players/m/martike02.html,Kevin Martin,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University
2509,masonde01,http://www.basketball-reference.com/players/m/masonde01.html,Desmond Mason,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State University
2510,masonro01,http://www.basketball-reference.com/players/m/masonro01.html,Roger Mason,2003,2014,G,6-5,200,"September 10, 1980",University of Virginia
2515,matthwe02,http://www.basketball-reference.com/players/m/matthwe02.html,Wesley Matthews,2010,2017,G,6-5,220,"October 14, 1986",Marquette University
2518,maxieja01,http://www.basketball-reference.com/players/m/maxieja01.html,Jason Maxiell,2006,2015,F,6-7,260,"February 18, 1983",University of Cincinnati
2523,mayse01,http://www.basketball-reference.com/players/m/mayse01.html,Sean May,2006,2010,F,6-9,266,"April 4, 1984",University of North Carolina
2529,maynoer01,http://www.basketball-reference.com/players/m/maynoer01.html,Eric Maynor,2010,2014,G,6-3,175,"June 11, 1987",Virginia Commonwealth University
2530,mayooj01,http://www.basketball-reference.com/players/m/mayooj01.html,O.J. Mayo,2009,2016,G,6-5,210,"November 5, 1987",University of Southern California
2533,mbahalu01,http://www.basketball-reference.com/players/m/mbahalu01.html,Luc Mbah a Moute,2009,2017,F,6-8,230,"September 9, 1986","University of California, Los Angeles"
2535,mcadoja01,http://www.basketball-reference.com/players/m/mcadoja01.html,James Michael McAdoo,2015,2017,F,6-9,230,"January 4, 1993",University of North Carolina
2537,mccalra01,http://www.basketball-reference.com/players/m/mccalra01.html,Ray McCallum,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy
2541,mccanra01,http://www.basketball-reference.com/players/m/mccanra01.html,Rashad McCants,2006,2009,G,6-4,207,"September 25, 1984",University of North Carolina
2548,mccarwa01,http://www.basketball-reference.com/players/m/mccarwa01.html,Walter McCarty,1997,2006,F,6-10,230,"February 1, 1974",University of Kentucky
2557,mccolcj01,http://www.basketball-reference.com/players/m/mccolcj01.html,C.J. McCollum,2014,2017,G,6-4,200,"September 19, 1991",Lehigh University
2563,mccoyje01,http://www.basketball-reference.com/players/m/mccoyje01.html,Jelani McCoy,1999,2008,C,6-10,245,"December 6, 1977","University of California, Los Angeles"
2565,mccrach01,http://www.basketball-reference.com/players/m/mccrach01.html,Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland
2573,mcdankj01,http://www.basketball-reference.com/players/m/mcdankj01.html,K.J. McDaniels,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson University
2574,mcderdo01,http://www.basketball-reference.com/players/m/mcderdo01.html,Doug McDermott,2015,2017,F,6-8,225,"January 3, 1992",Creighton University
2580,mcdyean01,http://www.basketball-reference.com/players/m/mcdyean01.html,Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",University of Alabama
2583,mcfariv01,http://www.basketball-reference.com/players/m/mcfariv01.html,Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State University
2585,mcgarmi01,http://www.basketball-reference.com/players/m/mcgarmi01.html,Mitch McGary,2015,2016,F-C,6-10,255,"June 6, 1992",University of Michigan
2586,mcgeeja01,http://www.basketball-reference.com/players/m/mcgeeja01.html,JaVale McGee,2009,2017,C,7-0,270,"January 19, 1988","University of Nevada, Reno"
2591,mcgratr01,http://www.basketball-reference.com/players/m/mcgratr01.html,Tracy McGrady,1998,2012,F-G,6-8,210,"May 24, 1979",
2598,mcguido01,http://www.basketball-reference.com/players/m/mcguido01.html,Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","California State University, Fresno"
2602,mcinnje01,http://www.basketball-reference.com/players/m/mcinnje01.html,Jeff McInnis,1997,2008,G,6-4,190,"October 22, 1974",University of North Carolina
2610,mckieaa01,http://www.basketball-reference.com/players/m/mckieaa01.html,Aaron McKie,1995,2007,G,6-5,209,"October 2, 1972",Temple University
2614,mclembe01,http://www.basketball-reference.com/players/m/mclembe01.html,Ben McLemore,2014,2017,G,6-5,195,"February 11, 1993",University of Kansas
2617,mcleoke01,http://www.basketball-reference.com/players/m/mcleoke01.html,Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green State University
2628,mcneaje01,http://www.basketball-reference.com/players/m/mcneaje01.html,Jerel McNeal,2015,2015,G,6-3,200,"June 1, 1987",Marquette University
2638,mcrobjo01,http://www.basketball-reference.com/players/m/mcrobjo01.html,Josh McRoberts,2008,2017,F,6-10,240,"February 28, 1987",Duke University
2641,medvest01,http://www.basketball-reference.com/players/m/medvest01.html,Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",
2643,meeksjo01,http://www.basketball-reference.com/players/m/meeksjo01.html,Jodie Meeks,2010,2017,G,6-4,210,"August 21, 1987",University of Kentucky
2650,mekelga01,http://www.basketball-reference.com/players/m/mekelga01.html,Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State University
2653,melofa01,http://www.basketball-reference.com/players/m/melofa01.html,Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University
2659,mensapo01,http://www.basketball-reference.com/players/m/mensapo01.html,Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington University
2671,middlkh01,http://www.basketball-reference.com/players/m/middlkh01.html,Khris Middleton,2013,2017,F-G,6-8,234,"August 12, 1991",Texas A&M University
2673,mihmch01,http://www.basketball-reference.com/players/m/mihmch01.html,Chris Mihm,2001,2009,C,7-0,265,"July 16, 1979",University of Texas at Austin
2679,milesaa01,http://www.basketball-reference.com/players/m/milesaa01.html,Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",University of Kansas
2680,milescj01,http://www.basketball-reference.com/players/m/milescj01.html,C.J. Miles,2006,2017,G-F,6-6,225,"April 18, 1987",
2681,milesda01,http://www.basketball-reference.com/players/m/milesda01.html,Darius Miles,2001,2009,F,6-9,210,"October 9, 1981",
2684,milicda01,http://www.basketball-reference.com/players/m/milicda01.html,Darko Milicic,2004,2013,F-C,7-0,250,"June 20, 1985",
2686,millean02,http://www.basketball-reference.com/players/m/millean02.html,Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",University of Utah
2690,millebr01,http://www.basketball-reference.com/players/m/millebr01.html,Brad Miller,1999,2012,C,6-11,244,"April 12, 1976",Purdue University
2691,milleda01,http://www.basketball-reference.com/players/m/milleda01.html,Darius Miller,2013,2015,F,6-8,235,"March 21, 1990",University of Kentucky
2697,millemi01,http://www.basketball-reference.com/players/m/millemi01.html,Mike Miller,2001,2017,F-G,6-8,218,"February 19, 1980",University of Florida
2699,millequ01,http://www.basketball-reference.com/players/m/millequ01.html,Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor University
2704,millspa02,http://www.basketball-reference.com/players/m/millspa02.html,Patty Mills,2010,2017,G,6-0,185,"August 11, 1988",Saint Mary's College of California
2706,millsel01,http://www.basketball-reference.com/players/m/millsel01.html,Elijah Millsap,2015,2016,G-F,6-6,225,"August 12, 1987",University of Alabama at Birmingham
2707,millspa01,http://www.basketball-reference.com/players/m/millspa01.html,Paul Millsap,2007,2017,F,6-8,246,"February 10, 1985",Louisiana Tech University
2709,mingya01,http://www.basketball-reference.com/players/m/mingya01.html,Yao Ming,2003,2011,C,7-6,310,"September 12, 1980",
2714,mirotni01,http://www.basketball-reference.com/players/m/mirotni01.html,Nikola Mirotic,2015,2017,F,6-10,220,"February 11, 1991",
2722,mitchto03,http://www.basketball-reference.com/players/m/mitchto03.html,Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",University of Alabama
2723,mitchto02,http://www.basketball-reference.com/players/m/mitchto02.html,Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas
2726,moblecu01,http://www.basketball-reference.com/players/m/moblecu01.html,Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",University of Rhode Island
2731,mohamna01,http://www.basketball-reference.com/players/m/mohamna01.html,Nazr Mohammed,1999,2016,C,6-10,221,"September 5, 1977",University of Kentucky
2738,moniase01,http://www.basketball-reference.com/players/m/moniase01.html,Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",
2740,monrogr01,http://www.basketball-reference.com/players/m/monrogr01.html,Greg Monroe,2011,2017,C-F,6-11,265,"June 4, 1990",Georgetown University
2745,moonja01,http://www.basketball-reference.com/players/m/moonja01.html,Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College
2748,mooreet01,http://www.basketball-reference.com/players/m/mooreet01.html,E'Twaun Moore,2012,2017,G,6-4,191,"February 28, 1989",Purdue University
2754,mooremi01,http://www.basketball-reference.com/players/m/mooremi01.html,Mikki Moore,1999,2012,C,6-11,225,"November 4, 1975",University of Nebraska
2759,moreler01,http://www.basketball-reference.com/players/m/moreler01.html,Eric Moreland,2015,2016,F-C,6-10,238,"December 24, 1991",Oregon State University
2766,morrida01,http://www.basketball-reference.com/players/m/morrida01.html,Darius Morris,2012,2015,G,6-4,190,"January 3, 1991",University of Michigan
2768,morrima03,http://www.basketball-reference.com/players/m/morrima03.html,Marcus Morris,2012,2017,F,6-9,235,"September 2, 1989",University of Kansas
2769,morrima02,http://www.basketball-reference.com/players/m/morrima02.html,Markieff Morris,2012,2017,F,6-10,245,"September 2, 1989",University of Kansas
2771,morrira01,http://www.basketball-reference.com/players/m/morrira01.html,Randolph Morris,2007,2010,C,6-10,266,"January 2, 1986",University of Kentucky
2772,morrite01,http://www.basketball-reference.com/players/m/morrite01.html,Terence Morris,2002,2006,F,6-9,221,"January 11, 1979",University of Maryland
2773,morriad01,http://www.basketball-reference.com/players/m/morriad01.html,Adam Morrison,2007,2010,F,6-8,205,"July 19, 1984",Gonzaga University
2777,morroan01,http://www.basketball-reference.com/players/m/morroan01.html,Anthony Morrow,2009,2017,G,6-5,210,"September 27, 1985",Georgia Institute of Technology
2784,motiedo01,http://www.basketball-reference.com/players/m/motiedo01.html,Donatas Motiejunas,2013,2017,F-C,7-0,222,"September 20, 1990",
2786,moultar01,http://www.basketball-reference.com/players/m/moultar01.html,Arnett Moultrie,2013,2014,F,6-11,249,"November 18, 1990",Mississippi State University
2788,mournal01,http://www.basketball-reference.com/players/m/mournal01.html,Alonzo Mourning,1993,2008,C,6-10,240,"February 8, 1970",Georgetown University
2789,mozgoti01,http://www.basketball-reference.com/players/m/mozgoti01.html,Timofey Mozgov,2011,2017,C,7-1,275,"July 16, 1986",
2793,muhamsh01,http://www.basketball-reference.com/players/m/muhamsh01.html,Shabazz Muhammad,2014,2017,F-G,6-6,223,"November 13, 1992","University of California, Los Angeles"
2796,mulleby01,http://www.basketball-reference.com/players/m/mulleby01.html,Byron Mullens,2010,2014,C,7-0,275,"February 14, 1989",Ohio State University
2808,murpher01,http://www.basketball-reference.com/players/m/murpher01.html,Erik Murphy,2014,2014,F,6-10,230,"October 26, 1990",University of Florida
2811,murphke01,http://www.basketball-reference.com/players/m/murphke01.html,Kevin Murphy,2013,2013,G,6-5,185,"March 6, 1990",Tennessee Technological University
2814,murphtr01,http://www.basketball-reference.com/players/m/murphtr01.html,Troy Murphy,2002,2013,F-C,6-11,245,"May 2, 1980",University of Notre Dame
2818,murrala01,http://www.basketball-reference.com/players/m/murrala01.html,Lamond Murray,1995,2006,F,6-7,236,"April 20, 1973",University of California
2819,murraro01,http://www.basketball-reference.com/players/m/murraro01.html,Ronald Murray,2003,2010,G,6-4,190,"July 29, 1979",Shaw University
2823,murryto01,http://www.basketball-reference.com/players/m/murryto01.html,Toure' Murry,2014,2015,G-F,6-5,195,"November 8, 1989",Wichita State University
2824,muscami01,http://www.basketball-reference.com/players/m/muscami01.html,Mike Muscala,2014,2017,F-C,6-11,240,"July 1, 1991",Bucknell University
2827,mutomdi01,http://www.basketball-reference.com/players/m/mutomdi01.html,Dikembe Mutombo,1992,2009,C,7-2,245,"June 25, 1966",Georgetown University
2830,ndiayha01,http://www.basketball-reference.com/players/n/ndiayha01.html,Hamady N'Diaye,2011,2014,C,7-0,235,"January 12, 1987",Rutgers University
2833,ndongbo01,http://www.basketball-reference.com/players/n/ndongbo01.html,Boniface N'Dong,2006,2006,C,7-0,198,"March 9, 1977",
2836,nachbbo01,http://www.basketball-reference.com/players/n/nachbbo01.html,Bostjan Nachbar,2003,2008,F,6-9,221,"July 3, 1980",
2839,nailole01,http://www.basketball-reference.com/players/n/nailole01.html,Lee Nailon,2001,2006,F,6-9,238,"February 22, 1975",Texas Christian University
2840,najered01,http://www.basketball-reference.com/players/n/najered01.html,Eduardo Najera,2001,2012,F,6-8,240,"July 11, 1976",University of Oklahoma
2843,napiesh01,http://www.basketball-reference.com/players/n/napiesh01.html,Shabazz Napier,2015,2017,G,6-1,175,"July 14, 1991",University of Connecticut
2847,nashst01,http://www.basketball-reference.com/players/n/nashst01.html,Steve Nash,1997,2014,G,6-3,195,"February 7, 1974",Santa Clara University
2853,navarju01,http://www.basketball-reference.com/players/n/navarju01.html,Juan Carlos Navarro,2008,2008,G,6-3,170,"June 13, 1980",
2856,nealga01,http://www.basketball-reference.com/players/n/nealga01.html,Gary Neal,2011,2017,G,6-4,210,"October 3, 1984",Towson University
2860,nedovne01,http://www.basketball-reference.com/players/n/nedovne01.html,Nemanja Nedovic,2014,2014,G,6-3,192,"June 16, 1991",
2863,nelsode01,http://www.basketball-reference.com/players/n/nelsode01.html,DeMarcus Nelson,2009,2009,G,6-4,200,"November 2, 1985",Duke University
2865,nelsoja01,http://www.basketball-reference.com/players/n/nelsoja01.html,Jameer Nelson,2005,2017,G,6-0,190,"February 9, 1982",Saint Joseph's University
2872,nestera01,http://www.basketball-reference.com/players/n/nestera01.html,Rasho Nesterovic,1999,2010,C,7-0,248,"May 30, 1976",
2880,newblir01,http://www.basketball-reference.com/players/n/newblir01.html,Ira Newble,2001,2008,F,6-7,220,"January 20, 1975",Miami University
2886,nichode01,http://www.basketball-reference.com/players/n/nichode01.html,Demetris Nichols,2008,2009,F,6-8,216,"September 4, 1984",Syracuse University
2888,nichoan01,http://www.basketball-reference.com/players/n/nichoan01.html,Andrew Nicholson,2013,2017,F,6-9,250,"December 8, 1989",St. Bonaventure University
2897,noahjo01,http://www.basketball-reference.com/players/n/noahjo01.html,Joakim Noah,2008,2017,C,6-11,230,"February 25, 1985",University of Florida
2899,nocioan01,http://www.basketball-reference.com/players/n/nocioan01.html,Andres Nocioni,2005,2012,F,6-7,225,"November 30, 1979",
2900,noelda01,http://www.basketball-reference.com/players/n/noelda01.html,David Noel,2007,2007,F,6-6,230,"February 27, 1984",University of North Carolina
2901,noelne01,http://www.basketball-reference.com/players/n/noelne01.html,Nerlens Noel,2015,2017,C-F,6-11,228,"April 10, 1994",University of Kentucky
2903,noguelu01,http://www.basketball-reference.com/players/n/noguelu01.html,Lucas Nogueira,2015,2017,C,7-0,241,"July 26, 1992",
2912,norrimo01,http://www.basketball-reference.com/players/n/norrimo01.html,Moochie Norris,1997,2006,G,6-1,175,"July 27, 1973",University of West Florida
2918,novakst01,http://www.basketball-reference.com/players/n/novakst01.html,Steve Novak,2007,2017,F,6-10,225,"June 13, 1983",Marquette University
2920,nowitdi01,http://www.basketball-reference.com/players/n/nowitdi01.html,Dirk Nowitzki,1999,2017,F,7-0,245,"June 19, 1978",
2921,nunnaja01,http://www.basketball-reference.com/players/n/nunnaja01.html,James Nunnally,2014,2014,F,6-7,205,"July 14, 1990","University of California, Santa Barbara"
2922,nurkiju01,http://www.basketball-reference.com/players/n/nurkiju01.html,Jusuf Nurkic,2015,2017,C,7-0,280,"August 23, 1994",
2933,obryajo01,http://www.basketball-reference.com/players/o/obryajo01.html,Johnny O'Bryant,2015,2017,F-C,6-9,257,"June 1, 1993",Louisiana State University
2934,obryapa01,http://www.basketball-reference.com/players/o/obryapa01.html,Patrick O'Bryant,2007,2010,C,7-0,260,"June 20, 1986",Bradley University
2943,onealje01,http://www.basketball-reference.com/players/o/onealje01.html,Jermaine O'Neal,1997,2014,F-C,6-11,226,"October 13, 1978",
2944,onealsh01,http://www.basketball-reference.com/players/o/onealsh01.html,Shaquille O'Neal,1993,2011,C,7-1,325,"March 6, 1972",Louisiana State University
2946,oquinky01,http://www.basketball-reference.com/players/o/oquinky01.html,Kyle O'Quinn,2013,2017,F-C,6-10,250,"March 26, 1990",Norfolk State University
2951,obertfa01,http://www.basketball-reference.com/players/o/obertfa01.html,Fabricio Oberto,2006,2011,C-F,6-10,245,"March 21, 1975",
2953,odengr01,http://www.basketball-reference.com/players/o/odengr01.html,Greg Oden,2009,2014,C,7-0,250,"January 22, 1988",Ohio State University
2954,odomla01,http://www.basketball-reference.com/players/o/odomla01.html,Lamar Odom,2000,2013,F,6-10,220,"November 6, 1979",University of Rhode Island
2959,ohlbrti01,http://www.basketball-reference.com/players/o/ohlbrti01.html,Tim Ohlbrecht,2013,2013,C,6-11,255,"August 30, 1988",
2960,okafoem01,http://www.basketball-reference.com/players/o/okafoem01.html,Emeka Okafor,2005,2013,C-F,6-10,252,"September 28, 1982",University of Connecticut
2962,okurme01,http://www.basketball-reference.com/players/o/okurme01.html,Mehmet Okur,2003,2012,C-F,6-11,249,"May 26, 1979",
2963,oladivi01,http://www.basketball-reference.com/players/o/oladivi01.html,Victor Oladipo,2014,2017,G,6-4,210,"May 4, 1992",Indiana University
2973,ollieke01,http://www.basketball-reference.com/players/o/ollieke01.html,Kevin Ollie,1998,2010,G,6-4,195,"December 27, 1972",University of Connecticut
2975,olowomi01,http://www.basketball-reference.com/players/o/olowomi01.html,Michael Olowokandi,1999,2007,C,7-0,269,"April 3, 1975",University of the Pacific
2977,olynyke01,http://www.basketball-reference.com/players/o/olynyke01.html,Kelly Olynyk,2014,2017,C-F,7-0,238,"April 19, 1991",Gonzaga University
2978,onuakar01,http://www.basketball-reference.com/players/o/onuakar01.html,Arinze Onuaku,2014,2017,C,6-9,255,"July 13, 1987",Syracuse University
2984,ortonda01,http://www.basketball-reference.com/players/o/ortonda01.html,Daniel Orton,2012,2014,C-F,6-10,255,"August 6, 1990",University of Kentucky
2987,ostergr01,http://www.basketball-reference.com/players/o/ostergr01.html,Greg Ostertag,1996,2006,C,7-2,280,"March 6, 1973",University of Kansas
2992,outlabo01,http://www.basketball-reference.com/players/o/outlabo01.html,Bo Outlaw,1994,2008,F,6-8,210,"April 13, 1971",University of Houston
2993,outlatr01,http://www.basketball-reference.com/players/o/outlatr01.html,Travis Outlaw,2004,2014,F,6-9,210,"September 18, 1984",
